Name,Location,Campus Size,Power Capacity,Owner,Built Date,AIDC?,PUE,Leasing Price,Build Cost,Source(s)/Notes
AT TOKYO Chuo Center (CC1),"Koto-ku, Tokyo","Floor ~140,000 sqm",~70 MW,AT TOKYO,2001,Unknown,Not disclosed,Not disclosed,Not disclosed,attokyo.co.jp; datacenters.com
AT TOKYO Chuo Dai-2 Center (CC2),"Koto-ku, Tokyo","Site 16,097 sqm; floor 41,319 sqm",Not disclosed,AT TOKYO,2012,Unknown,Not disclosed,Not disclosed,Not disclosed,Tokyo Metro. env. certification
AT TOKYO Center 3 (Fuchu),"Fuchu-shi, Tokyo","Site 6,353.81 sqm",Not disclosed,AT TOKYO,~2022,Unknown,Not disclosed,Not disclosed,Not disclosed,Tokyo Metro. env. certification
AT TOKYO Chuo Dai-3 Center (CC3),"Minato-ku, Tokyo","Site ~8,000 sqm; floor ~35,000 sqm",~40 MW,AT TOKYO,2024,Likely Yes (high-density cloud/IX hub),Not disclosed,Not disclosed,Not disclosed,attokyo.co.jp news; DCD
@Tokyo Chuo Center (CC1 & CC2) [Baxtel combined listing],"Koto-ku, Tokyo","1,506,947 SqFt total (Baxtel combined CC1+CC2)","130 MW (Baxtel-confirmed, largest DC in Japan)",AT TOKYO Corporation,2001/2012,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (baxtel.com/data-center/tokyo-chuo-center-cc1-cc2)
NTT Tokyo 2 Data Center,"Minamisuna, Koto-ku, Tokyo",Not disclosed,Not disclosed,NTT Global Data Centers,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,NTT brochure PDF
NTT Tokyo 3 Data Center,"Chuo Shinkawa, Tokyo",Not disclosed,Not disclosed,NTT Global Data Centers,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenters.com NTT profile
NTT Tokyo 6 Data Center,"Tabatashinmachi, Kita-ku, Tokyo","Floor 22,000 sqm",Not disclosed,NTT Communications/Global Data Centers,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,NTT.com Tokyo6 page
NTT Tokyo 11 Data Center,"Musashino-shi, Tokyo","Server room ~6,250 sqm (~2,600 racks)",21 MW critical IT load,NTT Communications,Sept 2020,Unknown,Not disclosed,Not disclosed,Not disclosed,cloud.watch; NTT.com press; Baxtel (listed as NTT Tokyo No 11)
"NTT TKY11 (Shiroi, Chiba)","Shiroi-shi, Chiba",Part of 250MW campus,50 MW IT capacity,NTT Global Data Centers Japan,Planned service start Apr 2027,Yes (built for hyperscaler/AI cloud demand),Not disclosed,Not disclosed,Not disclosed,"nttdata.com release; Baxtel (listed as NTT: Shiroi SHR1, status Construction+Planned)"
"NTT TKY12 (Shiroi, Chiba)","Shiroi-shi, Chiba","Site 219,285 sqm; 6 buildings planned",~200 MW (campus total ~250 MW),NTT Global Data Centers Japan,Dev. started Apr 2026; phase1 2030+,Yes (AI/cloud demand),Not disclosed,Not disclosed,Not disclosed,"nttdata.com release; Nikkei; Baxtel (listed as NTT: Tokyo TKY12, status Construction+Planned)"
NTT DATA Osaka North 1,"Ibaraki City, Osaka","5,000 sqm server room; part of 36MW campus",18 MW IT load (Phase 1 of 36MW) — confirmed by Baxtel,NTT DATA / NTT Global Data Centers,Planned FY2027,"Yes (AI, direct liquid cooling)",Not disclosed,Not disclosed,Not disclosed,"Mingtiandi; DCD; nttdata.com; Baxtel (listed as NTT: Osaka North 1(OSK12), Construction, 18MW confirmed)"
NTT DATA Osaka OSK12 Bldg-2,"Ibaraki City, Osaka",Not disclosed,Not disclosed,NTT DATA / NTT Global Data Centers,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as NTT: OSK12 Bldg-2, status Planned)"
NTT DATA Mitaka Data Center EAST,"Mitaka-shi, Tokyo","Floor ~38,000 sqm (~5,600 racks)",Rack-level up to 20kVA/rack,NTT DATA,March 2018,Yes (20kVA/rack zone for AI/IoT),Not disclosed,Not disclosed,Not disclosed,nttdata.com release; Baxtel (listed as NTT DATA Mitaka East (TK10))
NTT West Osaka & Fukuoka Next-Gen AI DCs,Osaka and Fukuoka (dual sites),Not disclosed,Not disclosed,NTT West,Target ~FY2029,"Yes (next-gen AI-ready, liquid cooling)",Not disclosed,Not disclosed,Not disclosed,Data Center Café
Telehouse Otemachi,"Chiyoda-ku, Tokyo",Not disclosed,Not disclosed,KDDI (Telehouse),Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,telehouse.com; Baxtel (listed as KDDI Tokyo Otemachi)
Telehouse Tokyo Tama 3,"Tama-shi, Tokyo","~1,300 racks (Tama campus 4,300 racks total)",Up to 42kVA/rack; Tama campus ~40MW,KDDI (Telehouse),Feb 2016,Unknown,Not disclosed,Not disclosed,Not disclosed,cloud.watch; Baxtel
Telehouse Tokyo Tama 5,"Tama-shi, Tokyo","Site 38,761 sqm; floor 67,700 sqm, 14 floors",Not disclosed,KDDI (Telehouse),June 2020,Unknown,Not disclosed,Not disclosed,Not disclosed,skyskysky.net; Baxtel
