Name,Location,Campus Size,Power Capacity,Owner,Built Date,AIDC?,PUE,Leasing Price,Build Cost,Source(s)/Notes
"NTT TKY11 (Shiroi, Chiba)","Shiroi-shi, Chiba",Part of 250MW campus,50 MW IT capacity,NTT Global Data Centers Japan,Planned service start Apr 2027,Yes (built for hyperscaler/AI cloud demand),Not disclosed,Not disclosed,Not disclosed,"nttdata.com release; Baxtel (listed as NTT: Shiroi SHR1, status Construction+Planned)"
"NTT TKY12 (Shiroi, Chiba)","Shiroi-shi, Chiba","Site 219,285 sqm; 6 buildings planned",~200 MW (campus total ~250 MW),NTT Global Data Centers Japan,Development started Apr 2026; Phase 1 service 2030+,Yes (AI/cloud demand),Not disclosed,Not disclosed,Not disclosed,"nttdata.com release; Nikkei; Baxtel (listed as NTT: Tokyo TKY12, status Construction+Planned)"
NTT DATA Osaka North 1,"Ibaraki City, Osaka","5,000 sqm server room; part of 36MW campus",18 MW IT load (Phase 1 of 36MW) — Baxtel-confirmed,NTT DATA / NTT Global Data Centers,Construction starts ~autumn 2025; Phase1 service start 2H FY2027; Phase2 completion 2032,"Yes (AI, direct liquid cooling)",Not disclosed,Not disclosed,Not disclosed,"Mingtiandi; DCD; nttdata.com; Baxtel (listed as NTT: Osaka North 1(OSK12), Construction, 18MW confirmed)"
NTT West Osaka & Fukuoka Next-Gen AI Data Centers,Osaka and Fukuoka (dual sites),Not disclosed,Not disclosed,NTT West,Announced; target ~FY2029,"Yes (next-gen AI-ready, liquid cooling, submarine cable connectivity)",Not disclosed,Not disclosed,Not disclosed,Data Center Café
Telehouse Tokyo Tama 5-2nd,"Tama-shi, Tokyo","8 floors above ground + 1 basement; ~1,900 racks",18 MW (Tama area total to reach ~100MW),KDDI (Telehouse),Construction started Jun 2025; opening planned autumn 2027,"Yes (AI-era demand, water-cooling for GPU servers)",Not disclosed,Not disclosed,Not disclosed (KDDI's separate JPY100bn compute-infra investment not facility-specific),biz.kddi.com; ITmedia
"SoftBank/IDC Frontier Hokkaido Tomakomai AI DC (""Core Brain"")","Tomakomai, Hokkaido","Eventual site ~700,000 sqm (Baxtel confirms 7,500,000 SqFt ≈ 696,800 sqm)",First phase 50MW (targeted FY2026); eventual >300MW,SoftBank Corp. + IDC Frontier,Groundbreaking Apr 2025; first phase targeted FY2026 (status as of mid-2026 uncertain — may be nearing completion),"Yes (Japan's largest AI-purpose compute infra, 100% Hokkaido renewable power)",Not disclosed,Not disclosed,Govt (METI) subsidy ~JPY30bn disclosed; total build cost undisclosed,"softbank.jp sbnews; Nikkei xTECH; Baxtel (listed as SoftBank: Hokkaido Campus, status Construction+Planned)"
KDDI Osaka Sakai Data Center — expansion phase,"Sakai City, Osaka (former Sharp plant site)",Reused Sharp factory site/buildings,Expansion from 150 MW (operational since Jan 2026) to planned 250 MW,KDDI Corporation,Expansion phase — no completion date disclosed; initial 150MW phase already operational (Baxtel confirms Operational status),"Yes (liquid+air cooled, NVIDIA GB200 NVL72, sovereign/physical AI)",Not disclosed,Not disclosed,Not disclosed (site acquisition ~JPY1bn cited; total capex undisclosed),KDDI Newsroom; Nikkei; Baxtel
MC Digital Realty additional Inzai land / future campus,"Inzai City, Chiba",Combined campus targeting 120+ MW total,120+ MW (aggregate plan),MC Digital Realty,Under development; no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Data Center Café; Cloud Watch
Colt Inzai 5,"Chuokita, Inzai-shi, Chiba",2.5-acre site,Not disclosed,Colt Data Centre Services,"Under development; not yet commissioned, no date disclosed (Baxtel status: Planned, not yet Construction)",Unknown,Not disclosed,Not disclosed,Not disclosed,datacenterHawk; Baxtel
DayOne Fuchu (GDS Services / Gaw Capital JV),"Fuchu Intelligent Park, Fuchu City, Tokyo","10,970 sqm (118,080 sq ft) land, two plots",40 MW full buildout (originally announced as 50MW),"GDS Services (rebranded ""DayOne"" Jan 2025) + Gaw Capital Partners",Phase 1 targeted end of 2026,"Unknown (GDS cites AI demand context, no explicit spec)",Not disclosed,Not disclosed,Not disclosed,Mingtiandi; Baxtel (confirms Construction status)
